                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7313,                 11.491,                 2.9276,                0.00741,                0.01587,                0.00638,                0.00447,                 2.3908,                 60.028,                  3.024,             0.00010766,             0.00010766,             0.00010766
                      2,                 1.9092,                 4.5486,                 2.1253,                0.46942,                0.67214,                 0.5209,                0.25877,                 1.7858,                 7.1306,                 2.3202,             0.00021859,             0.00021859,             0.00021859
                      3,                 1.5775,                 3.0696,                 1.7672,                0.62605,                0.64278,                0.74146,                0.38876,                 1.6497,                  3.928,                 2.1229,             0.00032496,             0.00032496,             0.00032496
                      4,                  1.534,                 2.4196,                 1.7268,                0.77098,                 0.5321,                0.78559,                0.42993,                 1.5783,                 2.6072,                  2.032,             0.00042676,             0.00042676,             0.00042676
                      5,                 1.5202,                 2.2941,                 1.7211,                0.81277,                0.83524,                0.90762,                0.56989,                 1.3733,                 2.0095,                 1.8551,             0.00052399,             0.00052399,             0.00052399
                      6,                 1.3736,                 1.8399,                 1.6066,                 0.7263,                0.70728,                0.64323,                0.39021,                 1.5328,                 2.0365,                 1.9809,             0.00061665,             0.00061665,             0.00061665
                      7,                 1.3606,                 1.7026,                 1.5804,                0.64885,                0.82865,                0.82076,                0.41161,                 1.6623,                 2.2418,                 2.1454,             0.00067764,             0.00067764,             0.00067764
                      8,                 1.3378,                 1.5254,                 1.5295,                0.83298,                 0.8992,                 0.9534,                0.49611,                 1.6936,                 1.3875,                 2.3264,             0.00066242,             0.00066242,             0.00066242
                      9,                 1.2977,                 1.3315,                 1.5082,                0.72553,                0.73891,                0.93613,                0.48621,                 1.6415,                  3.472,                 2.2062,             0.00064719,             0.00064719,             0.00064719
                     10,                 1.3356,                  1.432,                 1.5362,                0.74769,                0.89114,                0.91805,                0.55153,                 1.4108,                 1.4029,                 1.8102,             0.00063196,             0.00063196,             0.00063196
                     11,                  1.292,                 1.2125,                  1.493,                0.81414,                0.91898,                0.97603,                0.58221,                 1.3948,                 1.2345,                 1.8896,             0.00061674,             0.00061674,             0.00061674
                     12,                 1.2569,                 1.2214,                 1.4831,                0.84528,                0.95238,                0.98074,                 0.6265,                  1.396,                0.87058,                    1.8,             0.00060151,             0.00060151,             0.00060151
                     13,                  1.254,                 1.2023,                 1.5173,                0.95314,                 0.9553,                0.99033,                0.63738,                  1.354,                0.84604,                 1.7611,             0.00058629,             0.00058629,             0.00058629
                     14,                 1.3222,                 1.1704,                 1.5584,                0.88748,                0.98933,                0.99246,                0.60648,                  1.323,                0.87985,                 1.8119,             0.00057106,             0.00057106,             0.00057106
                     15,                 1.2095,                 1.0168,                 1.4761,                 0.8224,                0.95238,                0.96655,                  0.615,                 1.2838,                0.88376,                 1.6853,             0.00055583,             0.00055583,             0.00055583
                     16,                 1.2461,                 1.0412,                 1.4731,                0.93818,                0.93989,                  0.995,                0.63296,                 1.3248,                0.78312,                 1.7276,             0.00054061,             0.00054061,             0.00054061
                     17,                 1.1753,                0.96421,                 1.4254,                0.95205,                      1,                  0.995,                0.58355,                 1.4406,                0.70036,                 1.9988,             0.00052538,             0.00052538,             0.00052538
                     18,                 1.1636,                0.88973,                  1.384,                0.92603,                0.95238,                0.97156,                0.67164,                 1.2268,                0.67525,                 1.6797,             0.00051015,             0.00051015,             0.00051015
                     19,                 1.0639,                0.82929,                 1.3618,                0.88906,                      1,                0.98567,                0.65163,                 1.2166,                0.71198,                 1.7061,             0.00049493,             0.00049493,             0.00049493
                     20,                 1.1572,                0.90743,                 1.4216,                0.94058,                0.98547,                  0.995,                0.66757,                 1.2333,                0.65914,                 1.6703,              0.0004797,              0.0004797,              0.0004797
                     21,                 1.1289,                0.88799,                 1.4207,                 0.9629,                0.96943,                0.99306,                0.64997,                 1.2363,                0.62196,                 1.6472,             0.00046448,             0.00046448,             0.00046448
                     22,                 1.2373,                 0.9542,                 1.4827,                0.93241,                0.98054,                  0.995,                0.66759,                  1.293,                0.68455,                 1.7716,             0.00044925,             0.00044925,             0.00044925
                     23,                 1.1254,                0.86616,                 1.3848,                0.94273,                0.98097,                0.98472,                0.70146,                 1.1359,                 0.5936,                  1.583,             0.00043402,             0.00043402,             0.00043402
                     24,                 1.1712,                0.89615,                 1.4429,                 0.9643,                 0.9624,                  0.995,                0.69565,                  1.187,                0.59142,                 1.6239,              0.0004188,              0.0004188,              0.0004188
                     25,                 1.1241,                0.82823,                 1.3982,                 0.9536,                0.99346,                  0.995,                0.71019,                 1.1629,                0.57137,                 1.5705,             0.00040357,             0.00040357,             0.00040357
                     26,                0.98676,                 1.0098,                 1.3013,                0.98081,                0.98973,                  0.995,                0.70307,                 1.1202,                0.54915,                 1.5423,             0.00038835,             0.00038835,             0.00038835
                     27,                 1.0193,                0.74559,                  1.329,                0.97499,                0.97594,                  0.995,                0.71299,                 1.1485,                 0.5233,                 1.5968,             0.00037312,             0.00037312,             0.00037312
                     28,                 1.0209,                 0.6687,                 1.3308,                0.97698,                0.99107,                  0.995,                0.72236,                 1.1148,                0.51283,                  1.558,             0.00035789,             0.00035789,             0.00035789
                     29,                0.99759,                0.72039,                 1.3188,                0.96685,                      1,                  0.995,                0.71707,                 1.1172,                0.51642,                 1.5136,             0.00034267,             0.00034267,             0.00034267
                     30,                0.98777,                 0.7113,                 1.2956,                0.96983,                      1,                  0.995,                0.69812,                  1.184,                0.50293,                 1.6115,             0.00032744,             0.00032744,             0.00032744
